Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
46793,22PCKoL808R5vOyvrNRwus,De Doelleazen,Wy Jouwe Gas,Intro - Wy Jouwe Gas,17,89062,False,0.614,0.967,11,-3.779,0,0.0451,0.024,0.000207,0.247,0.77,149.998,5,happy
100617,2xmpXKeMUJi7L1vjxJZYX3,Miguel Cantilo,Clásicos,Adonde Quiera Que Voy,35,206906,False,0.608,0.762,2,-5.357,1,0.0257,0.169,0.0,0.198,0.786,115.002,3,ska
96948,1iWGeK5CeU3XW6DlRgPkyY,Zeca Pagodinho,Zeca Pagodinho Ao Vivo,Feirinha Da Pavuna / Luz Do Repente / Bagaço Da Laranja - Ao Vivo,35,107106,False,0.533,0.945,2,-5.139,1,0.219,0.555,0.0,0.918,0.679,113.669,4,samba
101993,6H0kAiSAFB84jX7dgEDWd6,Rain Sounds,Rain,Rain: Natural Recording,32,84219,False,0.0,0.0254,8,-19.925,1,0.0,1.54e-06,0.838,0.339,0.0,0.0,0,sleep
96080,4iwDUy9a2dKXkiuHa7jHXq,Art Popular,Sambapopbrasil,Meu Anjo,46,254600,False,0.598,0.414,4,-13.889,0,0.0387,0.361,0.0,0.117,0.251,144.901,4,samba
68426,6Q7Ftkc5TO3hguFRIHceM5,Alejo;Feid;ROBI,Esto me suena a Farra,Pantysito,0,240413,True,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4,latino
11201,5W63Zcirj6bvnTxhVIKTSK,Adele,21,One And Only,63,348226,False,0.528,0.468,5,-5.306,1,0.0287,0.295,0.0,0.165,0.185,154.974,3,british
84221,5p3JunprHCxClJjOmcLV8G,Lou Reed,Transformer,Walk On the Wild Side,73,254173,False,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,4,psych-rock
35642,59kZumlIB1BVkx6wSR0C5V,Silvanno Salles,O Cantor Apaixonado Volume 20,Que Sorte a Nossa,40,252055,False,0.657,0.77,7,-3.581,1,0.0331,0.797,0.0,0.483,0.686,138.956,4,forro
34426,7bJSiwLFnhoO7g83bWkCtA,Eagles,Hell Freezes Over (Remaster 2018),Love Will Keep Us Alive,66,243453,False,0.658,0.374,9,-11.684,1,0.026,0.721,1.28e-05,0.112,0.367,98.892,4,folk
79287,6mHOcVtsHLMuesJkswc0GZ,Supertramp,Breakfast In America (Deluxe Edition),The Logical Song - Remastered 2010,73,251253,False,0.625,0.758,5,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719,4,piano
90538,2e9NSjSOuXY2Pg9cToKmx4,Grupo Lluvia,15 Baladas Inolvidables Vol. 1 - Las Mejores,Una Vieja Canción De Amor,32,210053,False,0.702,0.351,7,-14.238,1,0.0304,0.227,9.43e-06,0.11,0.599,99.514,3,rock-n-roll
69585,7eeAEEpSNntJEXfQXiniPN,Havoc Mathan;Havoc Naven,Best of Havoc Brothers,Angry Bird,26,111893,False,0.545,0.859,10,-4.34,1,0.0694,0.5,0.0,0.0969,0.575,180.272,4,malay
